#
#--------------------------------------------------------------------------------
##ASTER 18.00.12 CONCEPT 00000037 CALCULE LE 08/09/2026 A 20:27:44 DE TYPE        
RESULTAT,NOM_CHAM,INST,NUME_ORDRE,MAILLE,NOEUD,SOUS_POINT,COOR_X,COOR_Y,COOR_Z,N,VY,VZ,MT,MFY,MFZ
RESU            ,EFGE_ELNO       ,   0.0000000000000000E+00,                        1,1       ,1       ,                        1,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,  -0.0000000000000000E+00,  -1.9698669372611238E-24,  -5.0000000000023647E+02,   1.7238814542519468E-17,   1.5000000000006430E+03,  -2.5629394662559225E-24
RESU            ,EFGE_ELNO       ,   0.0000000000000000E+00,                        1,1       ,2       ,                        1,   2.5000000000000000E-01,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,  -1.9698669372611238E-24,  -5.0000000000023647E+02,   1.7238814542519468E-17,   1.3750000000005853E+03,  -2.0704727319406415E-24
RESU            ,EFGE_ELNO       ,   0.0000000000000000E+00,                        1,2       ,2       ,                        1,   2.5000000000000000E-01,   0.0000000000000000E+00,   0.0000000000000000E+00,  -0.0000000000000000E+00,  -1.7957983671939386E-24,  -5.0000000000022555E+02,   1.7564075194265076E-17,   1.3750000000005875E+03,  -2.1077345934128604E-24
RESU            ,EFGE_ELNO       ,   0.0000000000000000E+00,                        1,2       ,3       ,                        1,   5.0000000000000000E-01,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,  -1.7957983671939386E-24,  -5.0000000000022555E+02,   1.7564075194265076E-17,   1.2500000000005348E+03,  -1.6846343957566578E-24
RESU            ,EFGE_ELNO       ,   0.0000000000000000E+00,                        1,3       ,3       ,                        1,   5.0000000000000000E-01,   0.0000000000000000E+00,   0.0000000000000000E+00,  -0.0000000000000000E+00,  -1.3977535328005008E-24,  -5.0000000000027649E+02,   1.6046192152785336E-17,   1.2500000000005357E+03,  -1.6041994654971910E-24
RESU            ,EFGE_ELNO       ,   0.0000000000000000E+00,                        1,3       ,4       ,                        1,   7.5000000000000000E-01,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,  -1.3977535328005008E-24,  -5.0000000000027649E+02,   1.6046192152785336E-17,   1.1250000000004711E+03,  -1.2030622940125015E-24
RESU            ,EFGE_ELNO       ,   0.0000000000000000E+00,                        1,4       ,4       ,                        1,   7.5000000000000000E-01,   0.0000000000000000E+00,   0.0000000000000000E+00,  -0.0000000000000000E+00,  -1.8196402895043738E-24,  -5.0000000000013097E+02,   2.0383000842727332E-17,   1.1250000000004729E+03,  -1.2357290349744449E-24
RESU            ,EFGE_ELNO       ,   0.0000000000000000E+00,                        1,4       ,5       ,                        1,   1.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,  -1.8196402895043738E-24,  -5.0000000000013097E+02,   2.0383000842727332E-17,   1.0000000000004511E+03,  -7.2912017431378794E-25
RESU            ,EFGE_ELNO       ,   0.0000000000000000E+00,                        1,5       ,5       ,                        1,   1.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,  -0.0000000000000000E+00,  -1.5402143639898323E-24,  -5.0000000000024738E+02,   1.4745149545802697E-17,   1.0000000000004529E+03,  -7.4302167422677403E-25
RESU            ,EFGE_ELNO       ,   0.0000000000000000E+00,                        1,5       ,6       ,                        1,   1.2500000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,   0.0000000000000000E+00,  -1.5402143639898323E-24,  -5.0000000000024738E+02,   1.4745149545802697E-17,   8.7500000000039654E+02,  -3.0626929494475428E-25
